Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Mujer,23,152,,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,,,No
Mujer,24,162,84,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Ningún día,Falta de motivación,No
Mujer,23,154,48.5,Ingeniería en Electrónica,Noveno semestre,2-3 veces,2-3 veces,"Falta de areas especificas cerca del lugar donde rentas, Falta de motivación",No
Hombre,22,172,62,Ingeniería en Diseño,Séptimo semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,22,154,71.3,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Todos los días,,No
Mujer,22,161,64,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,Falta de motivación,No
Hombre,24,180,82,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,145,52,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas, Falta de motivación",No
Mujer,20,158,45,Ingeniería en Alimentos,Quinto semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,175,80,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,22,178,80,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,19,175,80,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas, Falta de motivación",No
Hombre,20,175,50,Ingeniería en Mecatronica,Primer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,19,155,57.5,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas, Falta de motivación",No
Mujer,23,154,68,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,182,90,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,Falta de motivación,No
Mujer,21,155,53,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,Ningún día,Falta de motivación,No
Mujer,19,143,42,Ingeniería en Diseño,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,21,165,70,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,181,72,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
